,name,author,img,preview,prompt,n_prompt,step,sampler,scale,seed,skip,size,model,path,page
0,"
            winter miko
        ","
            
                Lunia
            
            ",/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-2068870245.png,https://www.ptsearch.info/media/article/original/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-2068870245.png,"
                        masterpiece, best quality, (((masterpiece))), (((best quality))), (((ultra-detailed))), (((illustration))), (((an extremely delicate and beautiful))),(((dynamic angle))),(beautiful detailed eyes), (detailed light),(((1girl))),loli,glowing eyes,pink hair,aqua eyes,winter,snowing,(((torii))),(((shrine))),Little girl, Fantasy,side ponytail,very long hair,high resolution illustration, lustrous skin,High-Resolution, High_Clarity, Delicate_Facial_Features, Delicate_Hair_Detail, Intricate_Details,Depth_Of_Field, Heavy_Breath, medium_Breasts, Blush_Face, Body_Blush, Shiny_Skin, Skindentation,Wavy_Hair, Slender, Sharp_Eyelid, Eyelashes,(((extremely detailed CG unity 8k wallpaper))),miko,nature,stone lantern,east asian architecture,solo,((girl focus)), ((character focus)), fox_ears, fox_tail, looking at viewer, 
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,2girls, 3girls, 4girls, 5girls, 6+girls
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        2068870245
                        ",None,None,None,app/static/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-2068870245.png,211
1,"
            winter miko
        ","
            
                Lunia
            
            ",/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-765807026.png,https://www.ptsearch.info/media/article/original/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-765807026.png,"
                        masterpiece, best quality, (((masterpiece))), (((best quality))), (((ultra-detailed))), (((illustration))), (((an extremely delicate and beautiful))),(((dynamic angle))),(beautiful detailed eyes), (detailed light),(((1girl))),loli,glowing eyes,pink hair,aqua eyes,winter,snowing,(((torii))),(((shrine))),Little girl, Fantasy,side ponytail,very long hair,high resolution illustration, lustrous skin,High-Resolution, High_Clarity, Delicate_Facial_Features, Delicate_Hair_Detail, Intricate_Details,Depth_Of_Field, Heavy_Breath, medium_Breasts, Blush_Face, Body_Blush, Shiny_Skin, Skindentation,Wavy_Hair, Slender, Sharp_Eyelid, Eyelashes,(((extremely detailed CG unity 8k wallpaper))),miko,nature,stone lantern,east asian architecture,solo,((girl focus)), ((character focus)), fox_ears, fox_tail, looking at viewer, 
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,2girls, 3girls, 4girls, 5girls, 6+girls
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        765807026
                        ",None,None,None,app/static/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-765807026.png,211
2,"
            winter miko
        ","
            
                Lunia
            
            ",/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-531881880.png,https://www.ptsearch.info/media/article/original/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-531881880.png,"
                        masterpiece, best quality, (((masterpiece))), (((best quality))), (((ultra-detailed))), (((illustration))), (((an extremely delicate and beautiful))),(((dynamic angle))),(beautiful detailed eyes), (detailed light),(((1girl))),loli,glowing eyes,pink hair,aqua eyes,winter,snowing,(((torii))),(((shrine))),Little girl, Fantasy,side ponytail,very long hair,high resolution illustration, lustrous skin,High-Resolution, High_Clarity, Delicate_Facial_Features, Delicate_Hair_Detail, Intricate_Details,Depth_Of_Field, Heavy_Breath, medium_Breasts, Blush_Face, Body_Blush, Shiny_Skin, Skindentation,Wavy_Hair, Slender, Sharp_Eyelid, Eyelashes,(((extremely detailed CG unity 8k wallpaper))),miko,nature,stone lantern,east asian architecture,solo,((girl focus)), ((character focus)), fox_ears, fox_tail, looking at viewer, happy new year, 
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,2girls, 3girls, 4girls, 5girls, 6+girls
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        531881880
                        ",None,None,None,app/static/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-531881880.png,211
3,"
            winter miko
        ","
            
                Lunia
            
            ",/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-337805613.png,https://www.ptsearch.info/media/article/original/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-337805613.png,"
                        masterpiece, best quality, (((masterpiece))), (((best quality))), (((ultra-detailed))), (((illustration))), (((an extremely delicate and beautiful))),(((dynamic angle))),(beautiful detailed eyes), (detailed light),(((1girl))),loli,glowing eyes,pink hair,aqua eyes,winter,snowing,(((torii))),(((shrine))),Little girl, Fantasy,side ponytail,very long hair,high resolution illustration, lustrous skin,High-Resolution, High_Clarity, Delicate_Facial_Features, Delicate_Hair_Detail, Intricate_Details,Depth_Of_Field, Heavy_Breath, medium_Breasts, Blush_Face, Body_Blush, Shiny_Skin, Skindentation,Wavy_Hair, Slender, Sharp_Eyelid, Eyelashes,(((extremely detailed CG unity 8k wallpaper))),miko,nature,stone lantern,east asian architecture,solo,((girl focus)), ((character focus)), fox_ears, fox_tail, looking at viewer, happy new year, 
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,2girls, 3girls, 4girls, 5girls, 6+girls
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        337805613
                        ",None,None,None,app/static/media/article/original_20221209/masterpiece_best_quality_ultra-detailed_illustration_an_extremely_delicate_and_beautifuldynamic_anglebeautiful_detailed_eyes_detailed__s-337805613.png,211
4,"
            q
        ","
                    Anonymous
                ",/media/article/original_20221209/02210-3084594834-masterpiece_best_quality8kkpopidol_girl_disney_princess_realristicphoto_realistic_hyper_realismreal__1.3_5fine_d.png,https://www.ptsearch.info/media/article/original/02210-3084594834-masterpiece_best_quality8kkpopidol_girl_disney_princess_realristicphoto_realistic_hyper_realismreal__1.3_5fine_d.png,"
                        masterpiece, best quality,8k,[kpop,idol girl|disney princess], [(realristic,photo realistic, hyper realism,real: 1.3):5],(fine detail face, real face, photo:1.2), dramatic light,solo, full body, beautiful detailed eyes, seductive  smile,[blond hair, black eyes:2]
                        ","
                        (3d:0.55),eyebrows, eyeliners, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name,multiple breasts, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, low res, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers, one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated, poorly drawn hands, more than 1 left hand, more than 1 right hand, deformed, (blurry), disfigured, missing legs, extra arms, extra thighs, more than 2 thighs, extra calf, fused calf, extra legs, bad knee, extra knee, more than 2 legs, bad tails, bad mouth, fused mouth, poorly drawn mouth, bad tongue, tongue within mouth, too long tongue, black tongue, big mouth, cracked mouth, bad mouth, dirty face, dirty teeth, dirty pantie, fused pantie, poorly drawn pantie, fused cloth, poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad camel toe, colorful camel toe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry, pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis, frame
                        ",None,"
                        Euler a
                        ","
                        12
                        ","
                        3084594834
                        ","
                        2
                        ","
                        640x960
                        ","
                        925997e9
                        ",app/static/media/article/original_20221209/02210-3084594834-masterpiece_best_quality8kkpopidol_girl_disney_princess_realristicphoto_realistic_hyper_realismreal__1.3_5fine_d.png,211
5,"
            fight
        ","
            
                Sitama
            
            ",/media/article/original_20221209/00367-1576896303-masterpiece_1.5_FEMININE_best_quality_depth_of_field_detailed_face_illustrationscenerycolorful__finely_detailed_beaut.png,https://www.ptsearch.info/media/article/original/00367-1576896303-masterpiece_1.5_FEMININE_best_quality_depth_of_field_detailed_face_illustrationscenerycolorful__finely_detailed_beaut.png,"
                        (masterpiece:1.5), FEMININE, best quality, depth of field, detailed face, illustration,scenery,colorful , finely detailed, beautiful detailed eyes , (dramatic light:1.3), (photorealistic:1.2), high quality, dynamic angle, intricate details, hyper detail, realistic, extremely detailed CG unity 8k wallpaper, (1 girl:1.3), frown, ocean, seashell armor, starfish, fluttering stones, drops of water, open mouth, action, horned helmet, screaming, fighting stance, fighting, detailed face
                        ","
                        lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, artist name, orgasm, multiple views, low quality, exif ,  extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))),  out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),
                        ",None,"
                        Euler a
                        ","
                        11
                        ","
                        1576896303
                        ","
                        2
                        ","
                        512x768
                        ","
                        925997e9
                        ",app/static/media/article/original_20221209/00367-1576896303-masterpiece_1.5_FEMININE_best_quality_depth_of_field_detailed_face_illustrationscenerycolorful__finely_detailed_beaut.png,211
6,"
            smoking
        ","
            
                청춘무용단
            
            ",/media/article/original_20221209/02962-2690464848-masterpiece_illustration_sketch_realistic_watercolor_medium_1.05_brushpainting_1girl_mature_black_hair_bare_shoulde.png,https://www.ptsearch.info/media/article/original/02962-2690464848-masterpiece_illustration_sketch_realistic_watercolor_medium_1.05_brushpainting_1girl_mature_black_hair_bare_shoulde.png,"
                        (masterpiece), illustration, sketch, realistic, watercolor (medium:1.05), brushpainting, 1girl, mature, black hair, bare shoulder, (smoking one cigarette:1.1), (chilling:1.1), room, table, (????:1.2), from side, upper body, ((hidden hands), shade
                        ","
                        3d, smile, closed eyes, more than 1 cigarette, (more than 2 hands), multiple arms, hand on own hair, long face, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler
                        ","
                        9.5
                        ","
                        2690464848
                        ","
                        2
                        ","
                        768x768
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/02962-2690464848-masterpiece_illustration_sketch_realistic_watercolor_medium_1.05_brushpainting_1girl_mature_black_hair_bare_shoulde.png,211
7,"
            d
        ","
            
                슬라크
            
            ",/media/article/original_20221209/00947-3804303891-masterpiece____.png,https://www.ptsearch.info/media/article/original/00947-3804303891-masterpiece____.png,"
                        masterpiece, best quality, ((cute face)), illustration, finely detailed, dramatic light, intricate details, ((women)), solo, full body, frills, bowtie, ribbon ,pop art, modern art, sphere effect<Multiple>, stemps, oil paint,warhol-isms, hat, flower effect,
                        ","
                        multiple breasts, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, low res, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers, one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated, poorly drawn hands, more than 1 left hand, more than 1 right hand, deformed, (blurry), disfigured, missing legs, extra arms, extra thighs, more than 2 thighs, extra calf, fused calf, extra legs, bad knee, extra knee, more than 2 legs, bad tails, bad mouth, fused mouth, poorly drawn mouth, bad tongue, tongue within mouth, too long tongue, black tongue, big mouth, cracked mouth, bad mouth, dirty face, dirty teeth, dirty pantie, fused pantie, poorly drawn pantie, fused cloth, poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad camel toe, colorful camel toe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry,pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis
                        ",None,"
                        Euler a
                        ","
                        6
                        ","
                        3804303891
                        ","
                        2
                        ","
                        704x704
                        ","
                        925997e9
                        ",app/static/media/article/original_20221209/00947-3804303891-masterpiece____.png,211
8,"
            Chin up
        ","
            
                청춘무용단
            
            ",/media/article/original_20221209/02897-4232293589-masterpiece_illustration_realistic_watercolor_medium_brushpainting_portrait_1girl_bangs_long_black_hair_head_rest.png,https://www.ptsearch.info/media/article/original/02897-4232293589-masterpiece_illustration_realistic_watercolor_medium_brushpainting_portrait_1girl_bangs_long_black_hair_head_rest.png,"
                        (masterpiece), illustration, realistic, watercolor (medium), brushpainting, portrait, 1girl, bangs, long black hair, head rest, hand on own face, looking at viewer, blue background, ((shade)),
                        ","
                        3d, (more than 1 hands), multiple arms, hand on own hair, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler
                        ","
                        9.5
                        ","
                        4232293589
                        ","
                        2
                        ","
                        768x768
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/02897-4232293589-masterpiece_illustration_realistic_watercolor_medium_brushpainting_portrait_1girl_bangs_long_black_hair_head_rest.png,211
9,"
            ㅇ
        ","
            
                슬라크
            
            ",/media/article/original_20221209/00927-3854498308-masterpiece____.png,https://www.ptsearch.info/media/article/original/00927-3854498308-masterpiece____.png,"
                        masterpiece, best quality, ((cute face)), illustration, finely detailed, dramatic light, intricate details, ((1girl)), solo, full body, frills, bowtie, ribbon ,pop art, modern art, sphere effect<Multiple>, stemps, oil paint,warhol-isms, cake, hat, balloon
                        ","
                        multiple breasts, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, low res, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers, one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated, poorly drawn hands, more than 1 left hand, more than 1 right hand, deformed, (blurry), disfigured, missing legs, extra arms, extra thighs, more than 2 thighs, extra calf, fused calf, extra legs, bad knee, extra knee, more than 2 legs, bad tails, bad mouth, fused mouth, poorly drawn mouth, bad tongue, tongue within mouth, too long tongue, black tongue, big mouth, cracked mouth, bad mouth, dirty face, dirty teeth, dirty pantie, fused pantie, poorly drawn pantie, fused cloth, poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad camel toe, colorful camel toe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry,pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis
                        ",None,"
                        Euler a
                        ","
                        6
                        ","
                        3854498308
                        ","
                        2
                        ","
                        704x704
                        ","
                        925997e9
                        ",app/static/media/article/original_20221209/00927-3854498308-masterpiece____.png,211
10,"
            ㅇ
        ","
            
                슬라크
            
            ",/media/article/original_20221209/00911-3854498287-masterpiece____.png,https://www.ptsearch.info/media/article/original/00911-3854498287-masterpiece____.png,"
                        masterpiece, best quality, ((cute face)), illustration, finely detailed, dramatic light, intricate details, ((1girl)), solo, full body, frills, bowtie, ribbon ,pop art, modern art, sphere effect<Multiple>, stemps, oil paint,warhol-isms, cake, hat, balloon
                        ","
                        multiple breasts, (mutated hands and fingers:1.5), (long body :1.3), (mutation, poorly drawn :1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, low res, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers, one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated, poorly drawn hands, more than 1 left hand, more than 1 right hand, deformed, (blurry), disfigured, missing legs, extra arms, extra thighs, more than 2 thighs, extra calf, fused calf, extra legs, bad knee, extra knee, more than 2 legs, bad tails, bad mouth, fused mouth, poorly drawn mouth, bad tongue, tongue within mouth, too long tongue, black tongue, big mouth, cracked mouth, bad mouth, dirty face, dirty teeth, dirty pantie, fused pantie, poorly drawn pantie, fused cloth, poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad camel toe, colorful camel toe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry,pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis
                        ",None,"
                        Euler a
                        ","
                        6
                        ","
                        3854498287
                        ","
                        2
                        ","
                        704x704
                        ","
                        925997e9
                        ",app/static/media/article/original_20221209/00911-3854498287-masterpiece____.png,211
